time,trans_err,rot_err
2.300e+01,4.583e-02,1.073e+00
4.000e+01,2.498e-01,1.084e+00
4.200e+01,7.414e-01,1.067e+00
4.500e+01,1.208e+00,1.042e+00
4.700e+01,1.683e+00,1.043e+00
4.900e+01,2.164e+00,1.033e+00
5.200e+01,2.597e+00,1.016e+00
5.400e+01,3.026e+00,9.843e-01
5.700e+01,3.352e+00,9.355e-01
5.900e+01,3.504e+00,8.690e-01
6.100e+01,3.410e+00,7.263e-01
6.300e+01,3.005e+00,5.865e-01
6.500e+01,1.918e+00,3.116e-01
6.600e+01,8.355e-01,4.714e-02
6.600e+01,6.727e-01,-7.587e-02
6.700e+01,6.995e-01,8.745e-03
6.900e+01,6.974e-01,7.986e-03
7.100e+01,6.975e-01,4.290e-03
7.300e+01,6.950e-01,2.386e-03
7.500e+01,6.908e-01,2.468e-03
7.700e+01,6.890e-01,1.818e-03
7.900e+01,6.879e-01,9.342e-04
8.100e+01,6.861e-01,8.524e-03
8.400e+01,6.839e-01,4.512e-03
8.600e+01,6.759e-01,5.281e-03
8.800e+01,6.767e-01,1.834e-03
9.000e+01,6.684e-01,9.497e-03
9.300e+01,6.571e-01,1.255e-02
9.500e+01,6.611e-01,1.130e-02
9.800e+01,6.529e-01,1.244e-02
1.000e+02,6.428e-01,1.333e-02
1.030e+02,6.304e-01,2.025e-02
1.060e+02,6.255e-01,2.278e-02
1.080e+02,6.183e-01,2.466e-02
1.090e+02,6.108e-01,-4.523e-03
1.090e+02,5.963e-01,-2.779e-03
1.090e+02,5.879e-01,-1.003e-02
1.100e+02,5.775e-01,-1.284e-02
1.100e+02,5.713e-01,3.412e-03
1.110e+02,5.672e-01,1.445e-02
1.130e+02,5.611e-01,1.627e-02
1.150e+02,5.449e-01,-6.267e+00
1.170e+02,5.409e-01,1.590e-02
1.190e+02,5.437e-01,9.486e-03
1.220e+02,5.260e-01,1.719e-02
1.240e+02,5.091e-01,1.488e-02
1.260e+02,4.955e-01,1.529e-02
1.280e+02,4.892e-01,1.551e-02
1.300e+02,4.828e-01,1.419e-02
1.320e+02,4.876e-01,1.320e-02
1.340e+02,4.837e-01,-6.273e+00
1.370e+02,4.748e-01,-6.272e+00
1.390e+02,4.735e-01,1.431e-02
1.410e+02,4.722e-01,1.003e-02
1.430e+02,4.652e-01,1.135e-02
1.450e+02,4.642e-01,9.688e-03
1.470e+02,4.530e-01,9.710e-03
1.490e+02,4.372e-01,6.984e-03
1.510e+02,4.345e-01,6.918e-03
1.530e+02,4.134e-01,7.696e-03
1.550e+02,4.039e-01,1.146e-02
1.570e+02,3.902e-01,8.626e-03
1.590e+02,3.736e-01,6.834e-03
1.620e+02,3.584e-01,1.116e-02
1.640e+02,3.397e-01,5.829e-03
1.660e+02,3.203e-01,1.345e-02
1.690e+02,2.943e-01,5.258e-02
1.690e+02,2.770e-01,4.430e-02
1.700e+02,2.416e-01,4.318e-02
1.700e+02,2.271e-01,3.772e-02
1.700e+02,2.146e-01,3.161e-02
1.710e+02,1.937e-01,2.969e-02
1.710e+02,1.875e-01,2.010e-02
1.730e+02,1.704e-01,1.318e-02
1.740e+02,1.705e-01,3.203e-02
1.740e+02,1.622e-01,2.669e-02
1.750e+02,1.577e-01,2.834e-02
1.750e+02,1.538e-01,2.457e-02
1.760e+02,1.525e-01,1.478e-02
1.770e+02,1.504e-01,3.026e-02
1.770e+02,1.473e-01,3.957e-02
1.780e+02,1.468e-01,2.568e-02
1.780e+02,1.486e-01,3.313e-02
1.790e+02,1.431e-01,2.662e-02
1.790e+02,1.431e-01,2.184e-02
1.800e+02,1.437e-01,2.135e-02
1.800e+02,1.391e-01,2.118e-02
1.810e+02,1.408e-01,4.084e-02
1.810e+02,1.385e-01,3.759e-02
1.820e+02,1.380e-01,3.610e-02
1.820e+02,1.312e-01,2.896e-02
1.830e+02,1.349e-01,3.056e-02
1.850e+02,1.256e-01,-4.468e-03
1.850e+02,1.267e-01,-7.742e-03
1.860e+02,1.267e-01,2.576e-03
1.890e+02,1.280e-01,1.048e-02
