time,trans_err,rot_err
1.500e+01,9.828e-01,7.349e-01
3.100e+01,1.237e+00,6.604e-01
3.300e+01,1.305e+00,5.370e-01
3.500e+01,8.643e-01,2.731e-01
3.600e+01,2.911e-01,7.023e-03
3.700e+01,1.925e-01,-4.172e-02
3.700e+01,1.897e-01,-5.628e-03
3.900e+01,1.916e-01,5.609e-03
4.200e+01,1.942e-01,-4.289e-03
4.400e+01,1.908e-01,9.133e-04
4.700e+01,1.886e-01,3.437e-03
4.900e+01,1.864e-01,2.139e-04
5.200e+01,1.845e-01,6.148e-04
5.400e+01,1.787e-01,-2.124e-03
5.700e+01,1.702e-01,-1.374e-03
5.900e+01,1.703e-01,-2.300e-04
6.200e+01,1.679e-01,-4.931e-04
6.400e+01,1.676e-01,-2.987e-03
6.700e+01,1.599e-01,1.471e-03
6.900e+01,1.518e-01,1.168e-03
7.200e+01,1.346e-01,-8.274e-04
7.500e+01,1.238e-01,-3.588e-04
7.700e+01,1.151e-01,3.952e-03
8.000e+01,1.150e-01,1.120e-03
8.200e+01,1.164e-01,-1.046e-03
8.200e+01,1.187e-01,2.074e-03
8.300e+01,1.155e-01,2.480e-03
8.300e+01,1.136e-01,-3.954e-02
8.300e+01,1.120e-01,-1.193e-06
8.400e+01,1.110e-01,-1.614e-04
8.500e+01,1.113e-01,1.593e-03
8.500e+01,1.076e-01,1.903e-03
8.700e+01,1.046e-01,7.614e-04
8.800e+01,9.939e-02,-1.280e-02
9.000e+01,9.213e-02,2.217e-03
9.200e+01,9.033e-02,4.099e-03
9.400e+01,8.497e-02,2.416e-03
