time,trans_err,rot_err
4.100e+01,1.932e+00,1.731e-02
6.200e+01,1.893e+00,-3.856e-03
6.400e+01,1.869e+00,4.263e-02
6.700e+01,1.831e+00,4.940e-02
6.900e+01,1.812e+00,5.019e-02
7.100e+01,1.784e+00,3.985e-02
7.400e+01,1.746e+00,7.278e-02
7.600e+01,1.695e+00,6.569e-02
7.900e+01,1.638e+00,5.852e-02
8.100e+01,1.550e+00,3.072e-02
8.300e+01,1.423e+00,2.833e-02
8.600e+01,1.302e+00,1.217e-02
8.800e+01,1.160e+00,2.741e-04
9.100e+01,1.046e+00,-1.095e-02
9.300e+01,9.311e-01,-2.038e-02
9.600e+01,8.188e-01,-2.574e-02
9.800e+01,7.091e-01,-1.255e-02
1.010e+02,6.439e-01,-2.516e-02
1.030e+02,5.872e-01,-1.703e-02
1.060e+02,5.512e-01,-1.012e-02
1.090e+02,5.309e-01,7.816e-03
1.110e+02,4.782e-01,8.794e-03
1.140e+02,4.475e-01,-2.267e-03
1.170e+02,4.344e-01,6.092e-02
1.170e+02,4.101e-01,5.842e-02
1.180e+02,3.690e-01,5.404e-02
1.180e+02,3.365e-01,5.346e-02
1.190e+02,3.080e-01,5.685e-02
1.190e+02,2.884e-01,5.703e-02
1.190e+02,2.777e-01,4.260e-02
1.200e+02,2.707e-01,3.846e-02
1.200e+02,2.490e-01,4.201e-02
1.210e+02,2.438e-01,3.551e-02
1.230e+02,2.223e-01,1.980e-02
1.250e+02,2.094e-01,-6.266e+00
1.270e+02,1.954e-01,1.795e-02
1.290e+02,1.800e-01,1.830e-02
1.310e+02,1.690e-01,1.850e-02
1.330e+02,1.566e-01,1.744e-02
1.350e+02,1.438e-01,1.172e-02
1.370e+02,1.295e-01,9.703e-03
1.390e+02,1.236e-01,-6.273e+00
1.410e+02,1.134e-01,-6.273e+00
1.440e+02,1.114e-01,-6.273e+00
1.460e+02,1.061e-01,9.291e-03
1.480e+02,9.987e-02,-6.277e+00
1.500e+02,8.792e-02,4.803e-03
1.520e+02,8.414e-02,8.524e-03
1.540e+02,7.805e-02,5.428e-03
1.560e+02,7.578e-02,2.910e-03
1.580e+02,6.966e-02,5.861e-03
1.610e+02,6.661e-02,6.611e-03
1.630e+02,6.431e-02,4.938e-03
1.650e+02,6.172e-02,5.232e-03
1.670e+02,5.644e-02,4.434e-03
1.690e+02,5.117e-02,1.799e-03
1.710e+02,4.395e-02,3.275e-03
1.730e+02,3.311e-02,3.093e-03
1.750e+02,3.248e-02,1.309e-03
1.780e+02,2.566e-02,1.368e-03
1.800e+02,2.611e-02,-6.282e+00
1.820e+02,2.417e-02,1.322e-03
1.840e+02,2.173e-02,-5.005e-04
1.860e+02,1.397e-02,2.638e-04
1.880e+02,2.319e-03,3.228e-03
1.900e+02,1.202e-02,-6.280e+00
1.920e+02,1.209e-02,4.686e-03
1.940e+02,2.181e-02,4.090e-03
1.960e+02,2.063e-02,4.283e-03
1.980e+02,2.692e-02,3.872e-03
