time,trans_err,rot_err
2.901e+01,1.958e+00,4.455e-01
3.661e+01,2.121e+00,4.149e-01
3.761e+01,2.265e+00,3.873e-01
3.861e+01,2.387e+00,3.600e-01
3.941e+01,2.478e+00,3.380e-01
4.021e+01,2.563e+00,3.162e-01
4.102e+01,2.578e+00,2.843e-01
4.181e+01,2.536e+00,2.437e-01
4.261e+01,2.480e+00,2.131e-01
4.341e+01,2.357e+00,1.751e-01
4.421e+01,2.189e+00,1.363e-01
4.502e+01,1.942e+00,9.356e-02
4.581e+01,1.642e+00,4.934e-02
4.662e+01,1.371e+00,1.372e-02
4.741e+01,1.055e+00,-2.609e-02
4.822e+01,8.354e-01,-4.395e-02
4.902e+01,6.671e-01,-6.158e-02
4.981e+01,5.750e-01,-6.670e-02
5.062e+01,4.852e-01,-6.898e-02
5.142e+01,4.328e-01,-6.321e-02
5.222e+01,3.829e-01,-5.397e-02
5.302e+01,3.195e-01,-4.405e-02
5.382e+01,2.841e-01,-2.965e-02
5.462e+01,2.458e-01,-2.458e-02
5.542e+01,2.103e-01,-1.710e-02
5.622e+01,1.910e-01,-1.192e-02
5.702e+01,1.788e-01,-3.134e-03
5.782e+01,1.744e-01,-3.247e-03
5.862e+01,1.684e-01,1.979e-03
5.942e+01,1.652e-01,1.343e-03
6.022e+01,1.653e-01,3.209e-03
6.102e+01,1.684e-01,1.232e-03
6.182e+01,1.602e-01,1.826e-03
6.262e+01,1.534e-01,1.283e-03
6.342e+01,1.427e-01,5.484e-03
6.422e+01,1.386e-01,7.401e-03
6.502e+01,1.333e-01,6.359e-03
6.582e+01,1.332e-01,8.666e-03
6.662e+01,1.331e-01,8.894e-03
6.742e+01,1.223e-01,5.000e-03
6.822e+01,1.142e-01,2.801e-03
6.902e+01,1.062e-01,1.307e-03
6.982e+01,1.151e-01,5.167e-03
7.062e+01,1.175e-01,4.700e-03
7.142e+01,1.197e-01,1.867e-03
7.222e+01,1.146e-01,1.263e-03
7.302e+01,1.139e-01,2.903e-03
7.382e+01,1.054e-01,2.512e-03
7.462e+01,9.955e-02,4.301e-04
7.542e+01,9.761e-02,1.758e-03
7.622e+01,1.063e-01,6.599e-03
7.702e+01,1.059e-01,9.737e-03
7.783e+01,1.072e-01,7.624e-03
7.862e+01,1.141e-01,1.069e-02
7.943e+01,1.166e-01,9.778e-03
8.023e+01,1.266e-01,1.305e-02
8.103e+01,1.299e-01,1.019e-02
8.183e+01,1.335e-01,6.560e-03
8.263e+01,1.340e-01,5.154e-03
8.343e+01,1.428e-01,5.964e-03
8.423e+01,1.449e-01,8.187e-03
8.503e+01,1.502e-01,7.840e-03
8.583e+01,1.548e-01,8.163e-03
8.663e+01,1.590e-01,3.099e-03
8.743e+01,1.600e-01,2.414e-03
8.823e+01,1.565e-01,2.645e-03
8.903e+01,1.580e-01,5.738e-03
8.983e+01,1.551e-01,4.368e-03
9.063e+01,1.535e-01,5.655e-03
9.143e+01,1.594e-01,4.268e-03
9.223e+01,1.623e-01,4.900e-03
9.303e+01,1.681e-01,3.564e-03
9.383e+01,1.721e-01,5.009e-03
9.463e+01,1.742e-01,4.917e-03
