time,trans_err,rot_err
1.780e+01,2.710e-02,1.039e+00
2.680e+01,2.533e-02,1.197e+00
2.720e+01,8.130e-02,1.145e+00
2.740e+01,3.187e-01,8.767e-01
2.760e+01,6.565e-01,4.693e-01
2.780e+01,7.836e-01,2.307e-01
2.800e+01,8.039e-01,2.069e-01
2.820e+01,7.956e-01,1.040e-01
2.840e+01,7.839e-01,1.152e-01
2.860e+01,7.813e-01,1.973e-02
2.880e+01,7.868e-01,1.122e-01
2.900e+01,7.938e-01,1.051e-01
2.920e+01,7.938e-01,1.864e-02
2.940e+01,7.944e-01,1.062e-01
2.960e+01,7.909e-01,1.091e-01
2.980e+01,7.798e-01,1.085e-01
3.000e+01,7.661e-01,1.003e-01
3.020e+01,7.441e-01,1.011e-01
3.040e+01,7.280e-01,1.014e-01
3.060e+01,7.113e-01,1.029e-01
3.080e+01,7.102e-01,9.897e-02
3.100e+01,7.171e-01,9.818e-02
3.120e+01,7.269e-01,9.947e-02
3.140e+01,7.320e-01,9.663e-02
3.160e+01,7.413e-01,9.854e-02
3.180e+01,7.459e-01,9.420e-02
3.201e+01,7.457e-01,9.928e-02
3.221e+01,7.401e-01,9.729e-02
3.240e+01,7.216e-01,1.014e-01
3.260e+01,7.126e-01,1.047e-01
3.280e+01,6.989e-01,9.827e-02
3.301e+01,6.885e-01,9.400e-02
3.320e+01,6.844e-01,9.657e-02
3.340e+01,6.917e-01,1.016e-01
3.360e+01,6.938e-01,1.003e-01
3.380e+01,7.045e-01,1.004e-01
3.400e+01,7.143e-01,1.003e-01
3.420e+01,7.092e-01,9.999e-02
3.441e+01,6.963e-01,9.885e-02
3.461e+01,6.669e-01,9.475e-02
3.480e+01,6.592e-01,9.855e-02
3.501e+01,6.476e-01,9.480e-02
3.521e+01,6.370e-01,9.115e-02
3.541e+01,6.393e-01,8.578e-02
3.560e+01,6.684e-01,9.822e-02
3.580e+01,6.742e-01,9.879e-02
3.601e+01,6.757e-01,9.102e-02
3.620e+01,6.758e-01,9.969e-02
3.640e+01,6.613e-01,9.965e-02
3.660e+01,6.522e-01,9.884e-02
3.680e+01,6.386e-01,9.380e-02
3.700e+01,6.185e-01,9.472e-02
3.720e+01,5.966e-01,1.008e-01
3.740e+01,5.819e-01,9.553e-02
3.761e+01,5.731e-01,7.607e-02
3.780e+01,5.676e-01,9.933e-02
3.800e+01,5.651e-01,1.029e-01
3.820e+01,5.555e-01,9.888e-02
3.840e+01,5.530e-01,9.873e-02
3.860e+01,5.307e-01,1.007e-01
3.881e+01,5.115e-01,9.321e-02
3.900e+01,4.904e-01,-6.181e+00
3.920e+01,4.653e-01,9.387e-02
3.940e+01,4.488e-01,9.615e-02
3.960e+01,4.314e-01,9.568e-02
3.981e+01,4.245e-01,9.445e-02
4.000e+01,4.247e-01,1.002e-01
4.020e+01,4.218e-01,9.412e-02
4.040e+01,4.159e-01,9.678e-02
4.060e+01,4.460e-01,9.340e-02
4.081e+01,4.361e-01,8.198e-02
4.101e+01,4.328e-01,8.819e-02
4.120e+01,4.102e-01,-6.192e+00
4.141e+01,3.971e-01,8.381e-02
4.160e+01,3.848e-01,9.882e-02
4.180e+01,3.620e-01,9.282e-02
4.201e+01,3.330e-01,8.972e-02
4.220e+01,3.241e-01,9.127e-02
4.240e+01,3.141e-01,9.328e-02
4.260e+01,3.037e-01,9.162e-02
4.281e+01,2.755e-01,8.566e-02
4.300e+01,2.481e-01,9.335e-02
4.320e+01,2.323e-01,9.763e-02
4.340e+01,1.876e-01,9.659e-02
4.360e+01,1.501e-01,9.444e-02
4.380e+01,1.239e-01,9.080e-02
4.400e+01,1.205e-01,8.472e-02
4.420e+01,1.110e-01,9.320e-02
4.441e+01,1.102e-01,7.593e-02
4.460e+01,1.209e-01,9.963e-02
4.480e+01,1.215e-01,9.666e-02
4.500e+01,1.072e-01,9.224e-02
4.521e+01,9.648e-02,9.063e-02
4.540e+01,9.934e-02,9.599e-02
4.561e+01,7.070e-02,8.701e-02
4.580e+01,5.910e-02,9.551e-02
4.600e+01,5.112e-02,9.525e-02
4.620e+01,4.524e-02,9.143e-02
4.641e+01,4.784e-02,8.357e-02
4.660e+01,5.240e-02,9.112e-02
4.680e+01,5.622e-02,9.287e-02
4.700e+01,5.734e-02,9.535e-02
