time,trans_err,rot_err
1.520e+01,2.952e+00,-4.676e-03
2.661e+01,2.926e+00,1.158e-01
2.701e+01,2.898e+00,2.094e-01
2.721e+01,2.847e+00,1.615e-01
2.741e+01,2.814e+00,2.777e-01
2.761e+01,2.779e+00,4.048e-01
2.781e+01,2.746e+00,-5.942e+00
2.801e+01,2.726e+00,4.794e-01
2.821e+01,2.715e+00,5.155e-01
2.841e+01,2.701e+00,4.612e-01
2.861e+01,2.703e+00,5.952e-01
2.881e+01,2.713e+00,6.361e-01
2.901e+01,2.714e+00,5.765e-01
2.921e+01,2.700e+00,6.011e-01
2.941e+01,2.708e+00,5.396e-01
2.961e+01,2.698e+00,5.518e-01
2.981e+01,2.694e+00,5.697e-01
3.001e+01,2.698e+00,-5.699e+00
3.021e+01,2.706e+00,5.892e-01
3.041e+01,2.727e+00,5.959e-01
3.061e+01,2.727e+00,5.976e-01
3.081e+01,2.751e+00,6.120e-01
3.101e+01,2.768e+00,5.238e-01
3.121e+01,2.776e+00,5.187e-01
3.141e+01,2.772e+00,5.280e-01
3.161e+01,2.759e+00,5.231e-01
3.181e+01,2.763e+00,5.359e-01
3.201e+01,2.746e+00,6.282e-01
3.221e+01,2.750e+00,5.377e-01
3.241e+01,2.769e+00,-5.741e+00
3.261e+01,2.760e+00,5.431e-01
3.281e+01,2.739e+00,5.388e-01
3.301e+01,2.726e+00,5.296e-01
3.321e+01,2.708e+00,5.268e-01
3.341e+01,2.700e+00,5.236e-01
3.361e+01,2.719e+00,5.284e-01
3.381e+01,2.711e+00,5.297e-01
3.401e+01,2.710e+00,5.319e-01
3.421e+01,2.692e+00,5.245e-01
3.441e+01,2.697e+00,5.295e-01
3.461e+01,2.695e+00,-5.755e+00
3.481e+01,2.700e+00,5.252e-01
3.501e+01,2.716e+00,5.234e-01
3.521e+01,2.711e+00,5.242e-01
3.541e+01,2.706e+00,5.193e-01
3.561e+01,2.709e+00,5.281e-01
3.581e+01,2.720e+00,5.266e-01
3.601e+01,2.738e+00,5.343e-01
3.621e+01,2.721e+00,5.345e-01
3.641e+01,2.707e+00,5.268e-01
3.661e+01,2.706e+00,5.240e-01
3.681e+01,2.704e+00,-5.756e+00
3.701e+01,2.703e+00,5.230e-01
3.721e+01,2.689e+00,5.192e-01
3.741e+01,2.678e+00,5.142e-01
3.761e+01,2.694e+00,5.179e-01
3.781e+01,2.679e+00,5.156e-01
3.801e+01,2.675e+00,5.188e-01
3.821e+01,2.668e+00,5.177e-01
3.841e+01,2.624e+00,5.158e-01
3.861e+01,2.623e+00,5.134e-01
3.881e+01,2.592e+00,5.116e-01
3.901e+01,2.602e+00,-5.777e+00
3.921e+01,2.614e+00,4.942e-01
3.941e+01,2.630e+00,5.000e-01
3.961e+01,2.652e+00,5.039e-01
3.981e+01,2.629e+00,5.001e-01
4.001e+01,2.617e+00,5.028e-01
4.021e+01,2.620e+00,5.066e-01
4.041e+01,2.608e+00,5.091e-01
4.061e+01,2.608e+00,5.079e-01
4.081e+01,2.595e+00,5.015e-01
4.101e+01,2.607e+00,5.006e-01
4.121e+01,2.586e+00,-5.785e+00
4.141e+01,2.594e+00,4.958e-01
4.161e+01,2.613e+00,4.998e-01
4.181e+01,2.598e+00,5.011e-01
4.201e+01,2.622e+00,4.994e-01
4.221e+01,2.623e+00,5.100e-01
4.241e+01,2.620e+00,5.153e-01
4.261e+01,2.586e+00,5.185e-01
4.281e+01,2.583e+00,5.145e-01
4.301e+01,2.604e+00,5.134e-01
4.321e+01,2.610e+00,5.163e-01
4.341e+01,2.610e+00,-5.767e+00
4.361e+01,2.597e+00,5.108e-01
4.381e+01,2.614e+00,5.149e-01
4.401e+01,2.650e+00,5.150e-01
4.421e+01,2.663e+00,5.127e-01
4.441e+01,2.655e+00,5.058e-01
4.461e+01,2.637e+00,5.017e-01
4.481e+01,2.657e+00,5.046e-01
4.501e+01,2.649e+00,5.094e-01
4.521e+01,2.639e+00,5.072e-01
4.541e+01,2.634e+00,5.016e-01
4.561e+01,2.636e+00,-5.787e+00
4.581e+01,2.627e+00,5.062e-01
4.601e+01,2.651e+00,5.065e-01
4.621e+01,2.674e+00,5.111e-01
4.641e+01,2.707e+00,5.145e-01
