time,trans_err,rot_err
5.042e+01,1.923e+00,2.375e-02
6.602e+01,1.879e+00,3.884e-02
6.702e+01,1.839e+00,4.048e-02
6.802e+01,1.765e+00,3.882e-02
6.882e+01,1.648e+00,3.491e-02
6.963e+01,1.479e+00,2.648e-02
7.043e+01,1.248e+00,1.344e-02
7.123e+01,1.005e+00,5.180e-03
7.203e+01,7.719e-01,2.093e-03
7.283e+01,5.926e-01,-3.217e-03
7.363e+01,4.711e-01,-7.769e-03
7.443e+01,3.962e-01,-9.988e-03
7.523e+01,3.475e-01,-8.884e-03
7.603e+01,3.270e-01,-1.177e-03
7.683e+01,3.011e-01,-7.365e-04
7.763e+01,2.847e-01,1.754e-03
7.843e+01,2.642e-01,4.772e-03
7.923e+01,2.396e-01,3.397e-03
8.003e+01,2.253e-01,6.554e-03
8.083e+01,2.071e-01,4.446e-03
8.163e+01,1.971e-01,6.739e-03
8.243e+01,1.755e-01,1.139e-03
8.323e+01,1.586e-01,2.977e-03
8.403e+01,1.451e-01,2.132e-03
8.483e+01,1.280e-01,-1.321e-03
8.563e+01,1.175e-01,-3.586e-04
8.643e+01,1.139e-01,3.126e-03
8.723e+01,1.071e-01,1.782e-03
8.803e+01,9.994e-02,2.163e-03
8.883e+01,1.035e-01,1.283e-03
8.963e+01,1.001e-01,8.680e-04
9.043e+01,1.004e-01,2.263e-03
9.123e+01,9.872e-02,3.711e-03
9.203e+01,1.047e-01,3.877e-03
9.283e+01,9.367e-02,3.504e-03
9.363e+01,9.453e-02,5.061e-03
9.443e+01,1.008e-01,9.645e-03
9.523e+01,1.019e-01,8.072e-03
9.603e+01,1.031e-01,7.410e-03
9.684e+01,1.117e-01,2.906e-03
9.764e+01,1.150e-01,2.666e-03
9.844e+01,1.153e-01,3.156e-03
9.923e+01,1.187e-01,5.896e-03
1.000e+02,1.221e-01,3.582e-03
1.008e+02,1.241e-01,5.493e-03
1.016e+02,1.264e-01,6.492e-03
1.024e+02,1.295e-01,4.022e-03
1.032e+02,1.338e-01,4.709e-03
1.040e+02,1.294e-01,3.842e-03
1.048e+02,1.340e-01,3.842e-03
1.056e+02,1.293e-01,5.136e-03
1.064e+02,1.243e-01,7.482e-03
1.072e+02,1.301e-01,7.168e-03
1.080e+02,1.349e-01,6.642e-03
1.090e+02,1.314e-01,9.215e-03
