time,trans_err,rot_err
4.962e+01,5.432e-02,4.087e-03
5.102e+01,4.912e-02,3.489e-03
5.223e+01,2.115e-02,3.634e-03
5.342e+01,1.338e-02,3.034e-03
5.463e+01,3.416e-02,1.473e-03
5.582e+01,3.401e-02,3.179e-03
5.682e+01,2.930e-02,1.275e-03
5.802e+01,2.839e-02,1.539e-03
5.923e+01,2.464e-02,1.637e-03
6.023e+01,1.927e-02,1.488e-03
6.142e+01,2.621e-02,1.483e-03
6.242e+01,2.412e-02,1.774e-03
6.343e+01,2.303e-02,-7.286e-04
6.463e+01,2.364e-02,1.191e-03
6.583e+01,2.801e-02,4.281e-03
6.683e+01,2.984e-02,3.347e-03
6.803e+01,2.672e-02,2.619e-03
6.903e+01,3.194e-02,-4.711e-04
7.003e+01,2.820e-02,7.392e-04
7.103e+01,2.613e-02,1.454e-03
7.223e+01,2.171e-02,6.193e-03
7.343e+01,1.368e-02,5.394e-03
7.463e+01,8.531e-03,9.377e-03
7.583e+01,1.854e-02,9.548e-03
7.703e+01,3.247e-02,8.934e-03
7.803e+01,3.602e-02,9.010e-03
7.923e+01,4.492e-02,8.514e-03
8.043e+01,4.943e-02,5.312e-03
8.163e+01,4.994e-02,1.584e-03
8.263e+01,6.158e-02,1.932e-03
8.383e+01,5.330e-02,1.062e-03
8.503e+01,5.289e-02,6.451e-04
8.603e+01,5.585e-02,7.399e-04
8.723e+01,6.272e-02,2.643e-03
8.843e+01,6.373e-02,1.901e-03
8.943e+01,6.677e-02,4.589e-03
9.063e+01,6.206e-02,6.244e-03
9.183e+01,6.782e-02,5.078e-03
9.303e+01,8.186e-02,8.326e-03
9.423e+01,7.154e-02,5.206e-03
9.543e+01,7.852e-02,6.540e-03
9.663e+01,7.952e-02,4.695e-03
9.783e+01,8.194e-02,7.653e-03
9.903e+01,8.277e-02,6.155e-03
1.002e+02,8.228e-02,6.824e-03
1.014e+02,8.290e-02,8.275e-03
1.026e+02,8.080e-02,9.590e-03
1.038e+02,8.602e-02,1.064e-02
1.050e+02,8.734e-02,9.245e-03
1.062e+02,8.645e-02,1.307e-02
1.074e+02,9.983e-02,1.322e-02
1.086e+02,1.075e-01,8.903e-03
1.098e+02,1.134e-01,7.277e-03
1.110e+02,1.158e-01,8.190e-03
1.122e+02,1.283e-01,4.089e-03
1.134e+02,1.373e-01,4.501e-03
1.146e+02,1.408e-01,4.645e-03
1.158e+02,1.436e-01,4.052e-03
1.170e+02,1.486e-01,6.587e-03
1.180e+02,1.490e-01,7.720e-03
1.192e+02,1.506e-01,8.435e-03
1.204e+02,1.527e-01,8.343e-03
1.216e+02,1.597e-01,6.643e-03
1.228e+02,1.626e-01,8.220e-03
1.240e+02,1.544e-01,7.001e-03
1.252e+02,1.559e-01,4.416e-03
1.264e+02,1.582e-01,5.098e-03
1.276e+02,1.570e-01,4.509e-03
1.288e+02,1.610e-01,3.306e-03
1.300e+02,1.650e-01,6.370e-03
1.312e+02,1.657e-01,2.043e-03
1.324e+02,1.626e-01,-2.103e-04
1.336e+02,1.643e-01,1.049e-03
1.348e+02,1.676e-01,1.584e-03
1.360e+02,1.717e-01,6.656e-03
1.372e+02,1.748e-01,5.736e-03
1.383e+02,1.755e-01,4.846e-03
1.394e+02,1.837e-01,6.663e-03
1.406e+02,1.866e-01,5.548e-03
1.418e+02,1.905e-01,2.686e-03
1.430e+02,1.864e-01,4.738e-03
1.442e+02,1.874e-01,5.192e-03
1.454e+02,1.835e-01,3.422e-03
1.466e+02,1.890e-01,5.050e-04
1.478e+02,1.827e-01,5.438e-03
1.490e+02,1.898e-01,5.206e-03
1.502e+02,1.954e-01,6.564e-03
1.514e+02,1.922e-01,4.822e-03
1.526e+02,1.956e-01,2.436e-03
1.538e+02,2.016e-01,4.397e-03
1.550e+02,2.011e-01,5.336e-03
1.562e+02,1.962e-01,2.006e-03
1.574e+02,1.908e-01,-1.055e-03
1.587e+02,1.893e-01,3.660e-03
1.599e+02,1.956e-01,6.662e-03
1.611e+02,1.982e-01,6.210e-03
1.623e+02,1.961e-01,6.464e-03
1.635e+02,1.969e-01,6.683e-03
1.647e+02,1.997e-01,5.358e-03
1.659e+02,2.044e-01,7.852e-03
1.671e+02,2.062e-01,9.230e-03
1.683e+02,2.115e-01,9.645e-03
