time,trans_err,rot_err
4.721e+01,1.816e-02,-2.613e-02
4.801e+01,3.822e-02,-5.406e-02
4.841e+01,3.847e-02,-4.916e-02
4.901e+01,1.633e-02,-4.730e-03
5.001e+01,3.067e-02,-1.463e-02
5.081e+01,4.026e-02,-6.794e-03
5.361e+01,5.963e-02,4.490e-04
5.641e+01,7.320e-02,5.003e-03
5.921e+01,6.594e-02,3.662e-03
6.202e+01,4.286e-02,4.355e-03
6.482e+01,3.601e-02,-1.693e-03
6.762e+01,3.489e-02,-2.384e-03
7.022e+01,4.148e-02,3.097e-05
7.302e+01,3.394e-02,-5.652e-04
7.562e+01,4.089e-02,-2.826e-04
7.803e+01,4.649e-02,2.176e-03
8.042e+01,5.122e-02,1.883e-03
8.283e+01,5.357e-02,1.361e-03
8.523e+01,5.141e-02,1.072e-03
8.763e+01,4.911e-02,3.427e-03
9.003e+01,4.405e-02,1.979e-03
9.243e+01,3.942e-02,1.828e-03
9.483e+01,4.126e-02,2.737e-03
9.723e+01,4.750e-02,4.266e-03
9.963e+01,5.324e-02,4.816e-03
1.020e+02,5.905e-02,4.594e-03
1.042e+02,5.941e-02,6.059e-03
1.064e+02,5.798e-02,4.495e-03
1.086e+02,5.385e-02,3.209e-03
1.108e+02,5.820e-02,3.747e-03
1.130e+02,6.598e-02,4.145e-03
1.152e+02,6.910e-02,6.306e-03
1.174e+02,6.904e-02,4.140e-03
1.196e+02,7.172e-02,3.859e-03
1.218e+02,8.048e-02,7.205e-03
1.240e+02,8.547e-02,6.648e-03
1.258e+02,9.380e-02,1.139e-02
1.262e+02,9.027e-02,1.249e-02
1.268e+02,9.082e-02,9.347e-03
1.278e+02,9.071e-02,8.213e-03
1.296e+02,9.179e-02,7.260e-03
1.320e+02,9.485e-02,4.756e-03
1.342e+02,9.334e-02,3.512e-03
1.362e+02,8.847e-02,4.332e-03
1.384e+02,8.340e-02,3.249e-03
1.404e+02,8.355e-02,3.424e-03
1.426e+02,8.684e-02,3.385e-03
1.448e+02,8.969e-02,3.611e-03
1.468e+02,8.497e-02,1.583e-03
1.490e+02,8.261e-02,-1.356e-03
1.512e+02,8.506e-02,-1.927e-03
1.534e+02,8.467e-02,-2.719e-03
1.556e+02,8.526e-02,1.970e-03
1.576e+02,8.274e-02,8.654e-04
1.598e+02,8.071e-02,3.494e-03
1.618e+02,9.140e-02,4.339e-03
1.638e+02,9.058e-02,4.672e-03
1.660e+02,9.384e-02,5.077e-03
1.682e+02,9.559e-02,5.342e-03
1.704e+02,1.032e-01,7.856e-03
1.726e+02,1.041e-01,-2.761e-03
